Submission Year,State,State Code,Region Code,Service Population,Service Population Without Duplicates,State Population,Central Libraries,Branch Libraries,Bookmobiles,MLS Librarians,Librarians,Employees,Total Staff,Local Government Operating Revenue,State Government Operating Revenue,Federal Government Operating Revenue,Other Operating Revenue,Total Operating Revenue,Salaries,Benefits,Total Staff Expenditures,Print Collection Expenditures,Digital Collection Expenditures,Other Collection Expenditures,Total Collection Expenditures,Other Operating Expenditures,Total Operating Expenditures,Local Government Capital Revenue,State Government Capital Revenue,Federal Government Capital Revenue,Other Capital Revenue,Total Capital Revenue,Total Capital Expenditures,Print Collection,Digital Collection,Audio Collection,Downloadable Audio,Physical Video,Downloadable Video,Local Cooperative Agreements,State Licensed Databases,Total Licensed Databases,Print Subscriptions,Hours Open,Library Visits,Reference Transactions,Registered Users,Circulation Transactions,Interlibrary Loans Provided,Interlibrary Loans Received,Library Programs,Children’s Programs,Young Adult Programs,Library Program Audience,Children’s Program Audience,Young Adult Program Audience,Public Internet Computers,Internet Computer Use,Wireless Internet Sessions,Start Date,End Date
2015,AK,2,8,652274,652274,735601,85,16,1,58.81,112.53,190.51,303.04,32474960,1176158,1166883,3122020,37940021,13969263,9212580,23181843,2276916,488715,569660,3335291,9991895,36509029,4206200,20786393,500000,1289455,26782048,18337915,2434236,351606,116847,373121,277268,1181,695,4116,4811,5600,153410,3491307,392428,358089,4792662,27745,28177,12803,8802,1528,279080,202322,25902,998,772129,479245,01/2013,06/2014
2015,AL,1,5,4822023,4822023,4822023,221,76,14,329.58,736.22,1080.88,1817.1,88056291,4736727,1081174,9247116,103121308,54292921,14390910,68683831,6505277,1413812,2701279,10620368,20658148,99962347,1835628,0,191962,1435752,3463342,4777481,9442086,2714815,450144,646206.21957672,620827,27411,974,12737,13711,8932,626821,17217402,4417062,2663716,20526321,427590,412054,42145,21685,4844,1053347,696970,77371,5302,4359414,15224387,10/2013,09/2014
2015,AR,5,5,2833849,2643928,2915918,54,179,2,142.01,286.4,767.09,1053.49,64665467,5495428,0,4633340,74794235,33653433,10389231,44042664,5533401,2023580,1895616,9452597,18375101,71870362,6288532,289274,0,611755,7189561,8489855,6304377,532433,230003,185583,401308,10028,563,3016,3579,10137,445052,10973629,2282111,1615238,14390348,28247,26991,34227,21081,4620,997901,712783,88721,2596,1970448,160450,01/2014,12/2014
2015,AZ,4,6,10501253,6667241,6667241,85,135,11,461.32,546.24,1485.28,2031.52,157746903,1611605,2029032,7024609,168412149,77164201,28609129,105773330,14556902,6231405,5788517,26576824,44262826,176612980,7588520,30000,55484,83500,7757504,3436844,8229850,1367378,689616,694223.167359949,1116663,6281,969,2430,3399,14239,482261,27609711,5754966,3118825,43672067,324668,367263,73875,37852,6702,1472963,1034731,109545,5593,8255038,5880952,07/2013,06/2014
2015,CA,6,8,38322887,38322887,38340074,167,950,53,2976.5,3209.71,8388.34,11598.05,1265099905,13614724,4633053,71630786,1354978468,565090291,281367947,846458238,68898041,24944727,18886309,112729077,326843919,1286031234,50568512,203848,74604,11337389,62184353,82960891,65409430,2978360,3530931,564568.105411644,5139201,135125,3947,116,4063,92902,2267921,164300175,23208453,21723648,222788583,3567561,3512390,342664,206627,33645,9491467,6909344,531379,21735,35000501,14252610,07/2013,06/2014
2015,CO,8,7,5238320,5177510,5264890,97,162,13,663.22,910.62,2340.11,3250.73,265575219,1233937,772338,16374433,283955927,129272590,36756147,166028737,16445553,9371697,9594308,35411558,61043834,262484129,10236392,42120,0,3663220,13941732,45987892,10316703,1390637,922877,522582.354609929,1344808,30485.679541002,2160,0,2160,25553,608043,32981666,4208956,3588616,64683932,786027,879725,106717,67253,9064,2647097,1799469,151930,6407,7395748,6234884,01/2014,12/2014
2015,CT,9,1,4374214,3596080,3596080,192,47,4,752.51,1074.91,1210.12,2285.03,168823962,1618933,330504,24624113,195397512,114615887,33333225,147949112,12363802,3577446,3217904,19159152,36150456,203258720,9834713,3037860,216618,9350986,22440177,26583582,14577630,1312468,826586,1025994,1122198,13481,1687,7606,9293,21268,551274,21972583,3494403,1647190,31081616,934646,918765,95517,54737,7381,2003864,1226174,112501,4355,4465464,524318,07/2013,06/2014
2015,DC,11,2,658893,658893,658893,1,25,0,147,147,423,570,53095222,0,912671,180898,54188791,31828080,6851322,38679402,2000732,1340000,495000,3835732,11798205,54313339,12950000,0,0,0,12950000,10353699,1815540,177086,86416,16154,140667,804,74,0,74,2071,65208,4230790,921814,359371,3938767,0,180,14357,8514,1566,284969,225815,15624,1000,1050623,-1,10/2013,09/2014
2015,DE,10,2,925244,925244,925244,19,13,2,63.58,121.72,208.31,330.03,19805621,3997939,2053,1861803,25667416,12628074,4724159,17352233,1797136,158409,635597,2591142,5049298,24992673,148240,3142715,0,1723942,5014897,10029794,1642715,415170,114600,53865,175643,0,54,651,705,4354,85420,3834672,405585,379791,6180769,842407,816950,13056,5408,1197,256274,175335,17349,772,622515,139907,07/2013,06/2014
2015,FL,12,5,19813366,19464451,19839251,63,468,24,1669.69,1917.91,4074.37,5992.28,461436699,22913457,1181115,20302059,505833330,225861289,81550783,307412072,33012867,16421139,10771442,60205448,143395285,511012805,23899274,558107,0,378930,24836311,27841697,31602986,1797802,1947487,824733.434077903,3520618,140704,1844,4838,6682,43118,1244917,75553933,23686241,10615421,116693486,98964,125338,203578,96748,17006,4611959,2928059,314348,16781,19076151,3276803,10/2013,09/2014
